level,city,town,name,Life expectancy_2010-2015,Coronary heart disease_2020,Current asthma_2020,Diabetes_2020,High blood pressure_2019,Annual checkup_2020,Dental visit_2020,Health insurance_2020,Current smoking_2020,Sleep <7 hours_2020
tract,NA,NA,09013538100,NA,0.04,0.09,0.08,0.27,0.66,0.57,0.21,0.2,0.42
tract,NA,NA,09013538201,NA,0.06,0.1,0.08,0.3,0.75,0.76,0.07,0.12,0.32
tract,NA,NA,09013538202,NA,0.06,0.1,0.09,0.31,0.76,0.76,0.07,0.12,0.32
tract,NA,NA,09013840100,NA,0.05,0.11,0.08,0.27,0.73,0.71,0.08,0.14,0.33
tract,NA,NA,09013850100,NA,0.05,0.1,0.08,0.28,0.74,0.77,0.06,0.12,0.33
tract,NA,NA,09013850200,NA,0.05,0.1,0.07,0.27,0.73,0.75,0.07,0.13,0.33
tract,NA,NA,09013860100,NA,0.06,0.1,0.08,0.3,0.75,0.76,0.07,0.12,0.32
tract,NA,NA,09013881100,NA,0.07,0.11,0.1,0.32,0.76,0.71,0.07,0.13,0.33
tract,NA,NA,09013881200,NA,0.01,0.15,0.02,0.11,0.69,0.56,0.12,0.13,0.36
tract,NA,NA,09013881300,NA,0.04,0.12,0.06,0.22,0.7,0.63,0.11,0.14,0.35
tract,NA,NA,09013881500,NA,0.06,0.11,0.09,0.29,0.74,0.69,0.09,0.13,0.33
tract,NA,NA,09013890100,NA,0.06,0.11,0.08,0.29,0.72,0.68,0.1,0.17,0.35
tract,NA,NA,09013890201,NA,0.06,0.11,0.09,0.31,0.74,0.72,0.08,0.15,0.34
tract,NA,NA,09013890202,NA,0.06,0.11,0.09,0.32,0.74,0.71,0.09,0.16,0.34
tract,NA,NA,09015800300,NA,0.05,0.14,0.09,0.24,0.75,0.55,0.16,0.19,0.36
tract,NA,NA,09015800400,NA,0.06,0.1,0.1,0.29,0.76,0.66,0.15,0.17,0.35
tract,NA,NA,09015800500,NA,0.07,0.11,0.11,0.34,0.78,0.68,0.12,0.17,0.34
tract,NA,NA,09015800600,NA,0.05,0.12,0.11,0.27,0.73,0.5,0.24,0.23,0.38
tract,NA,NA,09015800700,NA,0.06,0.11,0.11,0.31,0.76,0.61,0.14,0.18,0.36
tract,NA,NA,09015815000,NA,0.06,0.1,0.09,0.3,0.76,0.71,0.09,0.17,0.34
tract,NA,NA,09015820000,NA,0.06,0.1,0.09,0.32,0.78,0.74,0.07,0.16,0.33
tract,NA,NA,09015825000,NA,0.06,0.1,0.09,0.3,0.77,0.73,0.08,0.17,0.34
tract,NA,NA,09015830100,NA,0.05,0.1,0.08,0.29,0.77,0.73,0.08,0.15,0.33
tract,NA,NA,09015900100,NA,0.06,0.1,0.09,0.3,0.77,0.74,0.08,0.16,0.33
tract,NA,NA,09015900200,NA,0.06,0.11,0.09,0.31,0.77,0.71,0.09,0.17,0.34
tract,NA,NA,09015901100,NA,0.05,0.1,0.08,0.3,0.78,0.76,0.07,0.14,0.32
tract,NA,NA,09015902200,NA,0.06,0.1,0.09,0.3,0.77,0.75,0.07,0.14,0.32
tract,NA,NA,09015902500,NA,0.05,0.1,0.08,0.29,0.77,0.76,0.06,0.14,0.32
tract,NA,NA,09015903100,NA,0.06,0.11,0.09,0.3,0.76,0.68,0.1,0.19,0.34
tract,NA,NA,09015903200,NA,0.07,0.1,0.1,0.33,0.79,0.74,0.07,0.15,0.32
tract,NA,NA,09015904100,NA,0.06,0.11,0.09,0.31,0.76,0.7,0.09,0.19,0.34
tract,NA,NA,09015904400,NA,0.07,0.11,0.1,0.33,0.77,0.66,0.1,0.2,0.34
tract,NA,NA,09015904500,NA,0.06,0.11,0.1,0.32,0.76,0.65,0.11,0.2,0.35
tract,NA,NA,09015905100,NA,0.06,0.1,0.09,0.31,0.77,0.7,0.09,0.17,0.34
tract,NA,NA,09015906100,NA,0.05,0.1,0.08,0.29,0.76,0.74,0.08,0.16,0.34
tract,NA,NA,09015907100,NA,0.06,0.11,0.09,0.3,0.76,0.68,0.1,0.2,0.35
tract,NA,NA,09015907200,NA,0.06,0.12,0.1,0.32,0.76,0.63,0.11,0.23,0.36
tract,NA,NA,09015907300,NA,0.06,0.11,0.09,0.3,0.76,0.69,0.1,0.19,0.35
tract,NA,NA,09015908100,NA,0.05,0.11,0.08,0.28,0.75,0.71,0.09,0.19,0.35
