level,question,year,city,town,name,value
towns,Annual checkup,2018,NA,NA,Newington,0.8020607944506251
towns,Annual checkup,2018,NA,NA,Newtown,0.7853145863570392
towns,Annual checkup,2018,NA,NA,Norfolk,0.8029999999999999
towns,Annual checkup,2018,NA,NA,North Branford,0.7990585826334421
towns,Annual checkup,2018,NA,NA,North Canaan,0.7809999999999999
towns,Annual checkup,2018,NA,NA,North Haven,0.8057756194745361
towns,Annual checkup,2018,NA,NA,North Stonington,0.809
towns,Annual checkup,2018,NA,NA,Norwalk,0.7730404191441889
towns,Annual checkup,2018,NA,NA,Norwich,0.7940832983478625
towns,Annual checkup,2018,NA,NA,Old Lyme,0.8286484282520058
towns,Annual checkup,2018,NA,NA,Old Saybrook,0.8223198594024606
towns,Annual checkup,2018,NA,NA,Orange,0.8123433648609917
towns,Annual checkup,2018,NA,NA,Oxford,0.7924718915083181
towns,Annual checkup,2018,NA,NA,Plainfield,0.7786373904576436
towns,Annual checkup,2018,NA,NA,Plainville,0.7885449311356965
towns,Annual checkup,2018,NA,NA,Plymouth,0.7718061749571183
towns,Annual checkup,2018,NA,NA,Pomfret,0.7959999999999999
towns,Annual checkup,2018,NA,NA,Portland,0.7924467816575517
towns,Annual checkup,2018,NA,NA,Preston,0.8079999999999999
towns,Annual checkup,2018,NA,NA,Prospect,0.7922273258904837
towns,Annual checkup,2018,NA,NA,Putnam,0.7898480801335558
towns,Annual checkup,2018,NA,NA,Redding,0.8060349421271019
towns,Annual checkup,2018,NA,NA,Ridgefield,0.7986620667261953
towns,Annual checkup,2018,NA,NA,Rocky Hill,0.803639149627074
towns,Annual checkup,2018,NA,NA,Roxbury,0.809
towns,Annual checkup,2018,NA,NA,Salem,0.7979999999999999
towns,Annual checkup,2018,NA,NA,Salisbury,0.8220000000000001
towns,Annual checkup,2018,NA,NA,Scotland,0.7909999999999999
towns,Annual checkup,2018,NA,NA,Seymour,0.7852969165659008
towns,Annual checkup,2018,NA,NA,Sharon,0.8129999999999998
towns,Annual checkup,2018,NA,NA,Shelton,0.786992947243358
towns,Annual checkup,2018,NA,NA,Sherman,0.799
towns,Annual checkup,2018,NA,NA,Simsbury,0.8090782187061376
towns,Annual checkup,2018,NA,NA,Somers,0.7747142607479902
towns,Annual checkup,2018,NA,NA,South Windsor,0.8056083083744993
towns,Annual checkup,2018,NA,NA,Southbury,0.8229434786977492
towns,Annual checkup,2018,NA,NA,Southington,0.8006274118275326
towns,Annual checkup,2018,NA,NA,Sprague,0.786
towns,Annual checkup,2018,NA,NA,Stafford,0.7744862628268785
towns,Annual checkup,2018,NA,NA,Stamford,0.7737236939735656
towns,Annual checkup,2018,NA,NA,Sterling,0.7709999999999999
towns,Annual checkup,2018,NA,NA,Stonington,0.8195133998382313
towns,Annual checkup,2018,NA,NA,Stratford,0.7913821812237272
towns,Annual checkup,2018,NA,NA,Suffield,0.7895442008261836
towns,Annual checkup,2018,NA,NA,Thomaston,0.7758016989983517
towns,Annual checkup,2018,NA,NA,Thompson,0.7929663776696977
towns,Annual checkup,2018,NA,NA,Tolland,0.7841428381610417
towns,Annual checkup,2018,NA,NA,Torrington,0.7767255311546601
towns,Annual checkup,2018,NA,NA,Trumbull,0.798053695374535
towns,Annual checkup,2018,NA,NA,Union,0.78
towns,Annual checkup,2018,NA,NA,Vernon,0.7792170739230269
towns,Annual checkup,2018,NA,NA,Voluntown,0.792
towns,Annual checkup,2018,NA,NA,Wallingford,0.7907156087293674
towns,Annual checkup,2018,NA,NA,Warren,0.8009999999999999
towns,Annual checkup,2018,NA,NA,Washington,0.8059999999999999
towns,Annual checkup,2018,NA,NA,Waterbury,0.78226405777141506
towns,Annual checkup,2018,NA,NA,Waterford,0.8190736281190757
towns,Annual checkup,2018,NA,NA,Watertown,0.7848816736252998
towns,Annual checkup,2018,NA,NA,West Hartford,0.8090026869823607
towns,Annual checkup,2018,NA,NA,West Haven,0.7840005759124613
towns,Annual checkup,2018,NA,NA,Westbrook,0.803
towns,Annual checkup,2018,NA,NA,Weston,0.7988656056587091
towns,Annual checkup,2018,NA,NA,Westport,0.8072236747376
towns,Annual checkup,2018,NA,NA,Wethersfield,0.8103979301034948
