level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
tract,NA,NA,09015800500,77.4,0.32,0.16,0.07,0.12,0.12,0.34,0.76,0.68,0.09,0.17,0.34
tract,NA,NA,09015800600,73.8,0.37,0.15,0.04,0.13,0.12,0.28,0.7,0.5,0.23,0.23,0.38
tract,NA,NA,09015800700,79.5,0.34,0.16,0.06,0.12,0.12,0.32,0.74,0.61,0.12,0.18,0.36
tract,NA,NA,09015815000,78.3,0.26,0.12,0.05,0.11,0.1,0.31,0.74,0.71,0.06,0.16,0.34
tract,NA,NA,09015820000,83.6,0.26,0.12,0.06,0.11,0.1,0.32,0.76,0.74,0.05,0.15,0.33
tract,NA,NA,09015825000,80.3,0.25,0.12,0.05,0.11,0.09,0.31,0.75,0.73,0.06,0.16,0.34
tract,NA,NA,09015830100,78.1,0.24,0.11,0.05,0.11,0.09,0.3,0.75,0.73,0.06,0.15,0.33
tract,NA,NA,09015900100,79.3,0.25,0.11,0.05,0.11,0.09,0.31,0.75,0.74,0.05,0.15,0.33
tract,NA,NA,09015900200,82.1,0.28,0.13,0.06,0.11,0.1,0.32,0.75,0.71,0.06,0.16,0.34
tract,NA,NA,09015901100,82.6,0.23,0.11,0.05,0.11,0.09,0.3,0.76,0.76,0.05,0.13,0.32
tract,NA,NA,09015902200,83.5,0.24,0.11,0.05,0.11,0.09,0.31,0.76,0.75,0.05,0.14,0.32
tract,NA,NA,09015903100,75.8,0.29,0.13,0.06,0.12,0.1,0.31,0.74,0.68,0.07,0.18,0.34
tract,NA,NA,09015903200,80.8,0.27,0.13,0.06,0.11,0.1,0.34,0.77,0.74,0.05,0.14,0.32
tract,NA,NA,09015904100,80,0.28,0.13,0.06,0.11,0.1,0.31,0.74,0.7,0.07,0.18,0.34
tract,NA,NA,09015904400,78.7,0.32,0.15,0.06,0.12,0.11,0.33,0.75,0.66,0.08,0.19,0.34
tract,NA,NA,09015904500,75.4,0.31,0.15,0.06,0.12,0.11,0.32,0.74,0.65,0.09,0.19,0.35
tract,NA,NA,09015905100,79.7,0.28,0.13,0.06,0.11,0.1,0.32,0.75,0.7,0.07,0.17,0.34
tract,NA,NA,09015907100,78.1,0.28,0.13,0.05,0.12,0.09,0.3,0.74,0.68,0.08,0.19,0.35
tract,NA,NA,09015907200,82,0.32,0.15,0.06,0.12,0.11,0.32,0.73,0.63,0.09,0.22,0.36
tract,NA,NA,09015907300,77.5,0.28,0.13,0.06,0.11,0.09,0.31,0.74,0.69,0.07,0.18,0.35
tract,NA,NA,09015908100,81.6,0.25,0.11,0.04,0.11,0.09,0.28,0.73,0.71,0.06,0.18,0.35
town,NA,NA,Beacon Falls,NA,0.22,0.09,0.05,0.11,0.08,0.29,0.75,0.75,0.05,0.14,0.34
town,NA,NA,Canterbury,NA,0.25,0.11,0.05,0.11,0.09,0.3,0.75,0.74,0.06,0.16,0.34
town,NA,NA,Cornwall,NA,0.25,0.12,0.07,0.1,0.1,0.33,0.77,0.74,0.05,0.12,0.31
town,NA,NA,Pomfret,NA,0.23,0.1,0.05,0.11,0.09,0.29,0.76,0.76,0.04,0.13,0.32
town,NA,NA,Roxbury,NA,0.2,0.09,0.06,0.1,0.09,0.3,0.77,0.78,0.04,0.1,0.3
town,NA,NA,Warren,NA,0.21,0.1,0.06,0.1,0.09,0.3,0.76,0.76,0.04,0.11,0.3
tract,NA,NA,09001035200,NA,0.14,0.07,0.04,0.09,0.06,0.25,0.75,0.83,0.03,0.07,0.27
tract,NA,NA,09001044000,NA,0.28,0.13,0.05,0.12,0.11,0.28,0.7,0.56,0.18,0.18,0.37
tract,NA,NA,09001045300,NA,0.15,0.07,0.04,0.09,0.06,0.24,0.74,0.83,0.03,0.07,0.27
tract,NA,NA,09001070300,NA,0.46,0.22,0.05,0.17,0.15,0.31,0.7,0.32,0.35,0.32,0.45
tract,NA,NA,09001200100,NA,0.18,0.08,0.04,0.1,0.06,0.23,0.7,0.74,0.07,0.12,0.31
tract,NA,NA,09001211100,NA,0.18,0.07,0.01,0.14,0.05,0.16,0.71,0.71,0.1,0.13,0.38
tract,NA,NA,09001245500,NA,0.15,0.07,0.04,0.09,0.06,0.25,0.75,0.83,0.03,0.07,0.27
tract,NA,NA,09003400200,NA,0.23,0.1,0.05,0.11,0.09,0.31,0.78,0.77,0.04,0.12,0.32
tract,NA,NA,09003417300,NA,0.47,0.07,0.01,0.18,0.03,0.16,0.7,0.43,0.14,0.18,0.39
tract,NA,NA,09003462101,NA,0.22,0.1,0.06,0.1,0.09,0.33,0.8,0.8,0.03,0.09,0.3
tract,NA,NA,09003464101,NA,0.22,0.09,0.05,0.11,0.09,0.31,0.78,0.78,0.04,0.11,0.31
tract,NA,NA,09003492100,NA,0.22,0.09,0.05,0.11,0.08,0.3,0.78,0.78,0.04,0.1,0.31
tract,NA,NA,09003500100,NA,0.44,0.2,0.06,0.15,0.17,0.33,0.73,0.42,0.3,0.24,0.42
tract,NA,NA,09003500700,NA,0.34,0.09,0.04,0.11,0.09,0.27,0.66,0.45,0.25,0.23,0.42
tract,NA,NA,09003501700,NA,0.44,0.22,0.07,0.15,0.2,0.4,0.77,0.43,0.22,0.25,0.45
tract,NA,NA,09003503800,NA,0.35,0.06,0.02,0.16,0.04,0.16,0.71,0.57,0.1,0.13,0.37
tract,NA,NA,09003504100,NA,0.41,0.18,0.06,0.14,0.15,0.32,0.73,0.46,0.25,0.23,0.42
tract,NA,NA,09003524300,NA,0.25,0.09,0.04,0.1,0.08,0.28,0.73,0.67,0.1,0.15,0.37
tract,NA,NA,09003524600,NA,0.32,0.14,0.05,0.13,0.14,0.35,0.77,0.54,0.12,0.19,0.43
tract,NA,NA,09005253500,NA,0.22,0.1,0.05,0.1,0.08,0.28,0.74,0.73,0.05,0.13,0.32
tract,NA,NA,09005263200,NA,0.25,0.12,0.07,0.1,0.1,0.33,0.77,0.74,0.05,0.12,0.31
tract,NA,NA,09005265100,NA,0.21,0.1,0.06,0.1,0.09,0.3,0.76,0.76,0.04,0.11,0.3
tract,NA,NA,09005268100,NA,0.2,0.09,0.06,0.1,0.09,0.3,0.77,0.78,0.04,0.1,0.3
tract,NA,NA,09005310500,NA,0.3,0.16,0.08,0.11,0.11,0.35,0.76,0.68,0.07,0.15,0.32
tract,NA,NA,09007541500,NA,0.22,0.05,0.02,0.12,0.04,0.14,0.72,0.72,0.06,0.09,0.3
tract,NA,NA,09007610300,NA,0.23,0.11,0.05,0.11,0.09,0.29,0.78,0.74,0.06,0.14,0.3
tract,NA,NA,09009142100,NA,0.28,0.11,0.04,0.12,0.1,0.27,0.72,0.58,0.14,0.18,0.4
tract,NA,NA,09009155100,NA,0.31,0.16,0.07,0.12,0.12,0.36,0.76,0.64,0.1,0.2,0.37
tract,NA,NA,09009166002,NA,0.22,0.07,0.04,0.11,0.06,0.21,0.73,0.78,0.05,0.09,0.31
tract,NA,NA,09009170100,NA,0.38,0.16,0.05,0.13,0.13,0.3,0.71,0.47,0.26,0.25,0.42
tract,NA,NA,09009184700,NA,0.22,0.1,0.05,0.1,0.09,0.31,0.76,0.76,0.05,0.13,0.33
tract,NA,NA,09009341100,NA,0.22,0.09,0.05,0.11,0.08,0.29,0.75,0.75,0.05,0.14,0.34
tract,NA,NA,09009344100,NA,0.23,0.1,0.06,0.1,0.09,0.32,0.77,0.77,0.05,0.12,0.32
tract,NA,NA,09009352800,NA,0.31,0.15,0.06,0.12,0.12,0.33,0.75,0.62,0.12,0.19,0.38
tract,NA,NA,09009361402,NA,0.2,0.02,0.01,0.12,0.02,0.09,0.66,0.71,0.07,0.08,0.34
tract,NA,NA,09011660102,NA,0.23,0.11,0.06,0.1,0.1,0.32,0.8,0.78,0.04,0.12,0.31
tract,NA,NA,09011702900,NA,0.23,0.1,0.07,0.1,0.1,0.33,0.82,0.81,0.03,0.09,0.29
tract,NA,NA,09011980000,NA,0.22,0.02,0.01,0.09,0.02,0.09,0.64,0.67,0.1,0.11,0.34
tract,NA,NA,09013530600,NA,0.2,0.09,0.05,0.1,0.08,0.31,0.8,0.77,0.04,0.11,0.31
tract,NA,NA,09013533102,NA,0.19,0.08,0.04,0.1,0.08,0.28,0.78,0.77,0.04,0.11,0.32
tract,NA,NA,09013538100,NA,0.23,0.07,0.03,0.09,0.08,0.27,0.7,0.57,0.16,0.19,0.42
tract,NA,NA,09013881200,NA,0.33,0.04,0.01,0.16,0.02,0.11,0.7,0.56,0.1,0.12,0.36
tract,NA,NA,09013881300,NA,0.26,0.08,0.04,0.12,0.06,0.22,0.73,0.63,0.08,0.14,0.35
tract,NA,NA,09015902500,NA,0.23,0.1,0.05,0.11,0.09,0.29,0.76,0.76,0.04,0.13,0.32
tract,NA,NA,09015906100,NA,0.25,0.11,0.05,0.11,0.09,0.3,0.75,0.74,0.06,0.16,0.34
