level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
tract,NA,NA,09009180100,77.9,0.29,0.14,0.07,0.11,0.1,0.34,0.76,0.7,0.07,0.17,0.35
tract,NA,NA,09009180200,78.7,0.27,0.12,0.06,0.11,0.1,0.31,0.74,0.68,0.09,0.17,0.36
tract,NA,NA,09009180300,78.8,0.29,0.14,0.06,0.11,0.1,0.33,0.76,0.69,0.08,0.17,0.36
tract,NA,NA,09009180400,79.8,0.26,0.12,0.06,0.1,0.1,0.32,0.76,0.71,0.07,0.15,0.35
tract,NA,NA,09009180500,77.7,0.23,0.1,0.05,0.11,0.09,0.28,0.74,0.72,0.07,0.15,0.35
tract,NA,NA,09009180601,79.9,0.28,0.14,0.07,0.11,0.1,0.34,0.76,0.7,0.07,0.17,0.35
tract,NA,NA,09009180602,80.1,0.25,0.11,0.05,0.11,0.09,0.31,0.75,0.72,0.06,0.16,0.35
tract,NA,NA,09009184100,79.2,0.24,0.11,0.06,0.11,0.09,0.3,0.75,0.73,0.06,0.14,0.34
tract,NA,NA,09009184200,78.9,0.24,0.11,0.05,0.11,0.09,0.3,0.74,0.7,0.07,0.16,0.36
tract,NA,NA,09009184300,80.1,0.26,0.13,0.07,0.1,0.1,0.35,0.79,0.76,0.05,0.12,0.32
tract,NA,NA,09009184400,80.7,0.22,0.11,0.06,0.1,0.09,0.34,0.79,0.79,0.04,0.11,0.31
tract,NA,NA,09009184500,82.2,0.23,0.11,0.06,0.1,0.09,0.33,0.78,0.78,0.04,0.12,0.32
tract,NA,NA,09009184600,82.4,0.19,0.09,0.05,0.1,0.08,0.3,0.77,0.81,0.04,0.1,0.31
tract,NA,NA,09009186100,81.5,0.24,0.11,0.06,0.1,0.09,0.32,0.77,0.76,0.05,0.13,0.33
tract,NA,NA,09009186200,80.1,0.22,0.1,0.05,0.1,0.09,0.3,0.76,0.76,0.05,0.14,0.34
tract,NA,NA,09009190100,81.4,0.23,0.11,0.06,0.1,0.09,0.33,0.78,0.78,0.04,0.11,0.31
tract,NA,NA,09009190200,84.8,0.2,0.1,0.06,0.1,0.09,0.33,0.8,0.82,0.03,0.09,0.29
tract,NA,NA,09009190301,83.9,0.19,0.09,0.05,0.1,0.08,0.3,0.77,0.8,0.04,0.11,0.32
tract,NA,NA,09009190302,82,0.2,0.09,0.05,0.1,0.08,0.31,0.77,0.79,0.04,0.11,0.32
tract,NA,NA,09009190303,84.6,0.19,0.08,0.04,0.1,0.08,0.29,0.76,0.79,0.04,0.12,0.32
tract,NA,NA,09009194100,82,0.23,0.11,0.06,0.1,0.1,0.35,0.8,0.81,0.03,0.1,0.3
tract,NA,NA,09009194201,82.9,0.19,0.08,0.05,0.1,0.08,0.29,0.77,0.81,0.04,0.1,0.31
tract,NA,NA,09009194202,82.8,0.18,0.08,0.05,0.1,0.08,0.3,0.77,0.82,0.03,0.1,0.31
tract,NA,NA,09009343101,80.4,0.2,0.07,0.04,0.1,0.06,0.25,0.72,0.73,0.08,0.14,0.36
tract,NA,NA,09009343102,81.1,0.21,0.1,0.06,0.1,0.08,0.32,0.78,0.8,0.04,0.1,0.31
tract,NA,NA,09009343200,81.1,0.17,0.07,0.04,0.1,0.07,0.26,0.75,0.8,0.04,0.11,0.32
tract,NA,NA,09009343300,82.5,0.21,0.1,0.05,0.1,0.08,0.31,0.78,0.8,0.04,0.1,0.31
tract,NA,NA,09009343400,82.3,0.19,0.08,0.04,0.1,0.08,0.28,0.76,0.79,0.04,0.11,0.32
tract,NA,NA,09009344200,85.4,0.18,0.08,0.04,0.1,0.07,0.28,0.76,0.81,0.03,0.1,0.32
tract,NA,NA,09009345100,77.4,0.24,0.1,0.05,0.11,0.09,0.29,0.73,0.69,0.07,0.18,0.37
tract,NA,NA,09009345201,79.6,0.25,0.11,0.05,0.11,0.09,0.29,0.74,0.71,0.07,0.16,0.36
tract,NA,NA,09009345202,82.5,0.22,0.09,0.04,0.11,0.08,0.28,0.74,0.74,0.06,0.15,0.35
tract,NA,NA,09009345300,82.5,0.23,0.1,0.04,0.11,0.08,0.26,0.72,0.71,0.07,0.16,0.36
tract,NA,NA,09009345400,79,0.25,0.11,0.06,0.11,0.09,0.31,0.75,0.72,0.07,0.15,0.35
tract,NA,NA,09009346101,82.3,0.22,0.1,0.05,0.1,0.09,0.31,0.76,0.77,0.05,0.14,0.33
tract,NA,NA,09009346102,81.9,0.2,0.09,0.04,0.1,0.08,0.28,0.74,0.77,0.05,0.14,0.34
tract,NA,NA,09009347100,80.6,0.21,0.09,0.05,0.1,0.08,0.3,0.76,0.78,0.04,0.12,0.33
tract,NA,NA,09009347200,83.5,0.21,0.09,0.05,0.11,0.08,0.29,0.75,0.76,0.05,0.14,0.34
tract,NA,NA,09009348111,81.6,0.25,0.12,0.06,0.11,0.1,0.33,0.76,0.72,0.06,0.17,0.34
tract,NA,NA,09009348122,78.6,0.19,0.09,0.04,0.1,0.08,0.29,0.76,0.8,0.04,0.11,0.32
tract,NA,NA,09009348123,84.3,0.18,0.07,0.04,0.1,0.07,0.26,0.75,0.8,0.04,0.12,0.33
tract,NA,NA,09009348124,77.9,0.33,0.18,0.1,0.09,0.12,0.45,0.85,0.78,0.04,0.09,0.28
tract,NA,NA,09009348125,82.4,0.34,0.19,0.11,0.1,0.14,0.47,0.85,0.76,0.04,0.1,0.29
tract,NA,NA,09009350100,69.8,0.54,0.34,0.13,0.14,0.27,0.48,0.77,0.38,0.31,0.31,0.42
tract,NA,NA,09009350200,71.6,0.4,0.2,0.06,0.14,0.16,0.36,0.74,0.47,0.23,0.26,0.45
tract,NA,NA,09009350300,75.1,0.4,0.19,0.06,0.14,0.16,0.35,0.73,0.45,0.24,0.27,0.45
tract,NA,NA,09009350400,73.8,0.47,0.24,0.07,0.15,0.19,0.38,0.73,0.38,0.29,0.31,0.45
tract,NA,NA,09009350500,76.7,0.44,0.22,0.07,0.14,0.18,0.35,0.72,0.41,0.29,0.29,0.43
tract,NA,NA,09009350800,75.6,0.35,0.15,0.05,0.13,0.13,0.31,0.73,0.53,0.18,0.23,0.42
tract,NA,NA,09009350900,80.7,0.31,0.15,0.06,0.12,0.12,0.34,0.76,0.62,0.11,0.2,0.4
tract,NA,NA,09009351000,77.7,0.29,0.13,0.05,0.12,0.11,0.31,0.75,0.64,0.12,0.17,0.38
tract,NA,NA,09009351100,75.2,0.34,0.16,0.06,0.13,0.14,0.35,0.74,0.55,0.15,0.24,0.43
tract,NA,NA,09009351200,76.8,0.38,0.19,0.06,0.13,0.16,0.36,0.74,0.5,0.2,0.24,0.43
