level,city,town,name,Any disability_2023,Mobility disability_2023,Coronary heart disease_2023,Current asthma_2023,Diabetes_2023,High blood pressure_2023,Annual checkup_2023,Dental visit_2022,Health insurance_2023
tract,NA,NA,09110490303,0.183,0.071,0.039,0.099,0.08,0.259,0.814,0.777,0.055
tract,NA,NA,09110490304,0.235,0.106,0.063,0.111,0.103,0.341,0.85,0.766,0.047
tract,NA,NA,09110492100,0.2,0.082,0.049,0.114,0.086,0.298,0.834,0.781,0.048
tract,NA,NA,09110492200,0.208,0.086,0.048,0.114,0.087,0.293,0.828,0.753,0.061
tract,NA,NA,09110492300,0.254,0.109,0.054,0.119,0.106,0.311,0.815,0.692,0.093
tract,NA,NA,09110492400,0.238,0.104,0.059,0.116,0.1,0.324,0.832,0.727,0.064
tract,NA,NA,09110492500,0.214,0.09,0.053,0.113,0.089,0.309,0.836,0.783,0.049
tract,NA,NA,09110492600,0.239,0.107,0.062,0.114,0.102,0.336,0.841,0.794,0.059
tract,NA,NA,09110494100,0.242,0.107,0.056,0.118,0.106,0.322,0.827,0.757,0.074
tract,NA,NA,09110494201,0.248,0.11,0.061,0.115,0.102,0.331,0.835,0.74,0.065
tract,NA,NA,09110494202,0.219,0.093,0.052,0.115,0.095,0.309,0.83,0.79,0.057
tract,NA,NA,09110494300,0.267,0.119,0.061,0.122,0.107,0.328,0.821,0.709,0.083
tract,NA,NA,09110494400,0.288,0.137,0.072,0.121,0.119,0.359,0.832,0.713,0.083
tract,NA,NA,09110494500,0.245,0.106,0.055,0.118,0.103,0.316,0.823,0.728,0.075
tract,NA,NA,09110494600,0.251,0.113,0.062,0.114,0.111,0.337,0.831,0.736,0.075
tract,NA,NA,09110496100,0.332,0.162,0.064,0.127,0.153,0.355,0.808,0.56,0.166
tract,NA,NA,09110496200,0.248,0.112,0.059,0.112,0.11,0.326,0.831,0.769,0.076
tract,NA,NA,09110496300,0.209,0.086,0.046,0.113,0.088,0.289,0.824,0.776,0.061
tract,NA,NA,09110496400,0.19,0.078,0.047,0.11,0.085,0.291,0.835,0.791,0.044
tract,NA,NA,09110496500,0.173,0.066,0.04,0.112,0.074,0.269,0.828,0.835,0.038
tract,NA,NA,09110496600,0.213,0.094,0.059,0.11,0.096,0.336,0.856,0.827,0.041
tract,NA,NA,09110496700,0.197,0.073,0.036,0.113,0.082,0.255,0.805,0.72,0.072
tract,NA,NA,09110496800,0.253,0.108,0.048,0.118,0.108,0.297,0.809,0.683,0.113
tract,NA,NA,09110496900,0.204,0.076,0.04,0.115,0.078,0.259,0.807,0.786,0.066
tract,NA,NA,09110497000,0.177,0.071,0.044,0.11,0.08,0.288,0.84,0.804,0.037
tract,NA,NA,09110497100,0.232,0.096,0.054,0.115,0.09,0.3,0.823,0.761,0.061
tract,NA,NA,09110497200,0.235,0.102,0.059,0.109,0.091,0.32,0.845,0.811,0.05
tract,NA,NA,09110497300,0.208,0.083,0.048,0.111,0.084,0.284,0.829,0.789,0.049
tract,NA,NA,09110497400,0.169,0.066,0.043,0.106,0.077,0.282,0.841,0.821,0.034
tract,NA,NA,09110497500,0.225,0.101,0.058,0.111,0.104,0.332,0.846,0.774,0.052
tract,NA,NA,09110497600,0.176,0.07,0.044,0.11,0.078,0.282,0.834,0.817,0.036
tract,NA,NA,09110497700,0.183,0.075,0.049,0.11,0.086,0.303,0.845,0.817,0.035
tract,NA,NA,09110500100,0.374,0.177,0.062,0.125,0.169,0.346,0.788,0.455,0.26
tract,NA,NA,09110500200,0.425,0.217,0.076,0.132,0.194,0.38,0.786,0.442,0.304
tract,NA,NA,09110500300,0.417,0.228,0.086,0.133,0.206,0.407,0.807,0.449,0.271
tract,NA,NA,09110500400,0.339,0.155,0.053,0.133,0.144,0.33,0.799,0.493,0.201
tract,NA,NA,09110500500,0.256,0.112,0.05,0.107,0.122,0.31,0.802,0.557,0.124
tract,NA,NA,09110500900,0.468,0.263,0.085,0.15,0.228,0.425,0.807,0.475,0.309
tract,NA,NA,09110501200,0.416,0.218,0.068,0.161,0.19,0.416,0.819,0.421,0.218
tract,NA,NA,09110501300,0.442,0.234,0.069,0.161,0.2,0.418,0.809,0.467,0.253
tract,NA,NA,09110501400,0.415,0.232,0.079,0.162,0.206,0.454,0.836,0.407,0.19
tract,NA,NA,09110501500,0.388,0.202,0.065,0.161,0.182,0.428,0.83,0.515,0.17
tract,NA,NA,09110501700,0.407,0.213,0.073,0.141,0.198,0.414,0.812,0.448,0.234
tract,NA,NA,09110501800,0.397,0.192,0.062,0.147,0.174,0.378,0.804,0.424,0.235
tract,NA,NA,09110502100,0.197,0.063,0.032,0.107,0.071,0.23,0.779,0.717,0.078
tract,NA,NA,09110502300,0.321,0.15,0.058,0.123,0.142,0.329,0.8,0.571,0.202
tract,NA,NA,09110502400,0.366,0.178,0.062,0.124,0.165,0.345,0.789,0.509,0.264
tract,NA,NA,09110502500,0.455,0.258,0.098,0.135,0.222,0.424,0.801,0.475,0.292
tract,NA,NA,09110502600,0.362,0.173,0.06,0.128,0.16,0.343,0.792,0.525,0.253
tract,NA,NA,09110502700,0.384,0.14,0.049,0.138,0.123,0.271,0.765,0.535,0.202
tract,NA,NA,09110502800,0.472,0.24,0.077,0.137,0.202,0.379,0.771,0.386,0.379
tract,NA,NA,09110502900,0.3,0.126,0.048,0.116,0.127,0.293,0.786,0.553,0.197
tract,NA,NA,09110503000,0.435,0.223,0.079,0.131,0.193,0.371,0.781,0.453,0.337
tract,NA,NA,09110503101,0.414,0.207,0.069,0.146,0.184,0.394,0.798,0.415,0.244
tract,NA,NA,09110503102,0.329,0.164,0.071,0.13,0.162,0.391,0.825,0.529,0.151
tract,NA,NA,09110503300,0.352,0.155,0.05,0.145,0.143,0.343,0.797,0.563,0.209
tract,NA,NA,09110503500,0.36,0.184,0.061,0.151,0.179,0.423,0.831,0.578,0.161
tract,NA,NA,09110503700,0.426,0.247,0.081,0.168,0.22,0.487,0.843,0.435,0.164
tract,NA,NA,09110503800,0.336,0.046,0.013,0.151,0.027,0.135,0.742,0.509,0.113
tract,NA,NA,09110503900,0.345,0.192,0.069,0.153,0.185,0.461,0.862,0.609,0.109
tract,NA,NA,09110504000,0.291,0.144,0.051,0.149,0.145,0.404,0.853,0.583,0.094
tract,NA,NA,09110504100,0.389,0.176,0.064,0.131,0.163,0.344,0.775,0.462,0.265
tract,NA,NA,09110504200,0.346,0.17,0.075,0.126,0.16,0.375,0.815,0.581,0.164
tract,NA,NA,09110504300,0.38,0.188,0.08,0.123,0.172,0.374,0.801,0.539,0.229
tract,NA,NA,09110504500,0.368,0.179,0.063,0.125,0.168,0.348,0.793,0.516,0.259
tract,NA,NA,09110504800,0.319,0.153,0.061,0.118,0.151,0.344,0.809,0.654,0.199
tract,NA,NA,09110504900,0.373,0.18,0.068,0.124,0.17,0.355,0.791,0.517,0.259
tract,NA,NA,09110510100,0.306,0.148,0.062,0.125,0.144,0.366,0.822,0.637,0.143
tract,NA,NA,09110510200,0.326,0.174,0.076,0.122,0.17,0.413,0.845,0.633,0.141
tract,NA,NA,09110510300,0.357,0.174,0.065,0.137,0.162,0.376,0.811,0.515,0.191
tract,NA,NA,09110510400,0.332,0.159,0.06,0.13,0.16,0.376,0.812,0.556,0.178
tract,NA,NA,09110510500,0.252,0.108,0.049,0.119,0.115,0.318,0.822,0.674,0.109
tract,NA,NA,09110510600,0.403,0.214,0.08,0.142,0.192,0.413,0.814,0.512,0.207
tract,NA,NA,09110510700,0.301,0.142,0.061,0.128,0.135,0.355,0.82,0.667,0.135
tract,NA,NA,09110510800,0.298,0.139,0.063,0.125,0.129,0.353,0.822,0.65,0.127
tract,NA,NA,09110510900,0.265,0.119,0.059,0.12,0.115,0.339,0.828,0.713,0.099
tract,NA,NA,09110511000,0.268,0.12,0.059,0.118,0.113,0.34,0.827,0.697,0.102
tract,NA,NA,09110511100,0.271,0.123,0.06,0.122,0.121,0.342,0.826,0.711,0.101
tract,NA,NA,09110511200,0.317,0.147,0.057,0.13,0.139,0.347,0.809,0.585,0.167
tract,NA,NA,09110511300,0.375,0.188,0.07,0.14,0.174,0.392,0.811,0.471,0.193
tract,NA,NA,09110511400,0.268,0.125,0.061,0.118,0.127,0.355,0.833,0.688,0.1
tract,NA,NA,09110514101,0.254,0.119,0.065,0.118,0.114,0.354,0.847,0.76,0.065
tract,NA,NA,09110514103,0.171,0.05,0.024,0.102,0.059,0.199,0.778,0.768,0.065
tract,NA,NA,09110514104,0.23,0.094,0.043,0.115,0.097,0.289,0.812,0.723,0.083
tract,NA,NA,09110514200,0.285,0.127,0.058,0.128,0.119,0.333,0.814,0.635,0.107
tract,NA,NA,09110514300,0.236,0.097,0.048,0.12,0.096,0.302,0.815,0.716,0.082
tract,NA,NA,09110514400,0.283,0.12,0.053,0.127,0.114,0.321,0.801,0.67,0.118
tract,NA,NA,09110514500,0.273,0.121,0.057,0.123,0.116,0.326,0.814,0.676,0.106
tract,NA,NA,09110514600,0.337,0.162,0.071,0.131,0.139,0.368,0.815,0.596,0.134
tract,NA,NA,09110514700,0.313,0.13,0.054,0.133,0.115,0.31,0.785,0.552,0.149
tract,NA,NA,09110514800,0.315,0.141,0.056,0.137,0.127,0.334,0.802,0.554,0.141
tract,NA,NA,09110514900,0.23,0.097,0.051,0.119,0.096,0.308,0.822,0.751,0.068
tract,NA,NA,09110515000,0.23,0.1,0.056,0.117,0.1,0.324,0.834,0.761,0.061
tract,NA,NA,09110515101,0.258,0.116,0.064,0.116,0.106,0.34,0.836,0.746,0.076
tract,NA,NA,09110515102,0.227,0.099,0.052,0.112,0.106,0.317,0.829,0.722,0.071
tract,NA,NA,09110515200,0.248,0.114,0.066,0.117,0.113,0.356,0.846,0.752,0.058
tract,NA,NA,09110520100,0.197,0.083,0.051,0.108,0.09,0.307,0.842,0.806,0.043
tract,NA,NA,09110520201,0.184,0.076,0.045,0.11,0.086,0.289,0.833,0.804,0.041
tract,NA,NA,09110520202,0.19,0.078,0.047,0.111,0.086,0.294,0.835,0.826,0.043
tract,NA,NA,09110520301,0.209,0.085,0.045,0.115,0.091,0.29,0.823,0.741,0.06
tract,NA,NA,09110520302,0.23,0.101,0.057,0.113,0.098,0.319,0.836,0.777,0.056
tract,NA,NA,09110520400,0.199,0.084,0.052,0.111,0.088,0.308,0.843,0.812,0.04
tract,NA,NA,09110520501,0.193,0.081,0.049,0.113,0.087,0.301,0.838,0.781,0.039
tract,NA,NA,09110524100,0.231,0.101,0.057,0.12,0.1,0.326,0.834,0.775,0.053
tract,NA,NA,09110524200,0.241,0.105,0.061,0.113,0.102,0.328,0.831,0.745,0.065
tract,NA,NA,09110524300,0.242,0.096,0.051,0.113,0.092,0.306,0.802,0.73,0.092
tract,NA,NA,09110524400,0.335,0.176,0.06,0.148,0.172,0.417,0.843,0.589,0.138
tract,NA,NA,09110524501,0.266,0.104,0.042,0.123,0.103,0.279,0.788,0.64,0.154
tract,NA,NA,09110524502,0.272,0.13,0.064,0.126,0.134,0.363,0.834,0.704,0.096
tract,NA,NA,09110524600,0.319,0.145,0.052,0.136,0.145,0.356,0.806,0.536,0.149
tract,NA,NA,09110524700,0.319,0.157,0.065,0.116,0.151,0.359,0.823,0.628,0.183
tract,NA,NA,09110526101,0.196,0.087,0.053,0.11,0.082,0.301,0.808,0.801,0.051
tract,NA,NA,09110526102,0.188,0.082,0.053,0.106,0.08,0.301,0.813,0.784,0.046
tract,NA,NA,09110528100,0.192,0.084,0.053,0.107,0.08,0.303,0.811,0.789,0.049
tract,NA,NA,09110529100,0.214,0.099,0.062,0.108,0.092,0.327,0.816,0.75,0.055
tract,NA,NA,09110530100,0.242,0.108,0.06,0.115,0.095,0.317,0.791,0.729,0.082
tract,NA,NA,09110530200,0.277,0.125,0.06,0.12,0.104,0.316,0.774,0.598,0.123
tract,NA,NA,09110530301,0.256,0.116,0.059,0.117,0.098,0.315,0.789,0.671,0.098
tract,NA,NA,09110530302,0.231,0.107,0.065,0.103,0.096,0.328,0.81,0.758,0.069
tract,NA,NA,09110530400,0.21,0.087,0.05,0.107,0.079,0.281,0.79,0.752,0.072
tract,NA,NA,09110530500,0.254,0.126,0.073,0.112,0.107,0.356,0.819,0.74,0.07
tract,NA,NA,09110530600,0.188,0.086,0.059,0.103,0.086,0.324,0.831,0.806,0.042
tract,NA,NA,09110533102,0.201,0.09,0.056,0.107,0.084,0.307,0.811,0.774,0.051
tract,NA,NA,09110533103,0.216,0.101,0.065,0.106,0.093,0.334,0.824,0.779,0.053
tract,NA,NA,09110533104,0.165,0.068,0.044,0.104,0.07,0.272,0.808,0.8,0.041
tract,NA,NA,09110535101,0.186,0.081,0.051,0.103,0.079,0.294,0.812,0.782,0.049
tract,NA,NA,09110535102,0.208,0.092,0.056,0.111,0.088,0.311,0.804,0.746,0.054
tract,NA,NA,09110535200,0.199,0.085,0.051,0.106,0.079,0.29,0.799,0.747,0.058
tract,NA,NA,09110538100,0.261,0.097,0.051,0.09,0.102,0.326,0.714,0.548,0.203
tract,NA,NA,09110538201,0.21,0.095,0.06,0.108,0.088,0.32,0.813,0.767,0.053
tract,NA,NA,09110538202,0.211,0.097,0.062,0.106,0.088,0.325,0.821,0.788,0.05
tract,NA,NA,09110840100,0.242,0.109,0.063,0.112,0.095,0.316,0.792,0.724,0.072
tract,NA,NA,09110850100,0.187,0.08,0.051,0.106,0.078,0.296,0.808,0.812,0.048
tract,NA,NA,09110850200,0.216,0.097,0.057,0.11,0.087,0.312,0.803,0.762,0.06
tract,NA,NA,09110860100,0.244,0.117,0.07,0.113,0.1,0.343,0.812,0.73,0.068
tract,NA,NA,09110881100,0.211,0.089,0.055,0.108,0.083,0.288,0.802,0.742,0.053
tract,NA,NA,09110881200,0.307,0.04,0.012,0.133,0.02,0.121,0.706,0.546,0.105
tract,NA,NA,09110881300,0.258,0.078,0.041,0.115,0.063,0.214,0.748,0.651,0.085
tract,NA,NA,09110881500,0.224,0.096,0.056,0.104,0.087,0.288,0.795,0.74,0.067
tract,NA,NA,09110890100,0.237,0.103,0.056,0.116,0.086,0.3,0.784,0.717,0.079
tract,NA,NA,09110890202,0.231,0.106,0.063,0.11,0.091,0.329,0.807,0.728,0.063
tract,NA,NA,09110890204,0.241,0.113,0.065,0.114,0.097,0.335,0.804,0.723,0.066
tract,NA,NA,09110980100,0.348,0.109,0.043,0.106,0.105,0.308,0.703,0.419,0.294
tract,NA,NA,09120060100,0.186,0.059,0.035,0.101,0.051,0.199,0.754,0.8,0.061
tract,NA,NA,09120060200,0.204,0.09,0.056,0.098,0.082,0.299,0.802,0.799,0.059
tract,NA,NA,09120060300,0.162,0.067,0.047,0.092,0.07,0.275,0.809,0.829,0.04
tract,NA,NA,09120060400,0.159,0.066,0.046,0.093,0.068,0.272,0.808,0.842,0.038
tract,NA,NA,09120060500,0.154,0.062,0.043,0.092,0.065,0.26,0.802,0.843,0.04
tract,NA,NA,09120060600,0.187,0.083,0.058,0.091,0.079,0.309,0.824,0.815,0.044
tract,NA,NA,09120060700,0.189,0.058,0.034,0.106,0.048,0.192,0.751,0.792,0.06
tract,NA,NA,09120060800,0.169,0.071,0.045,0.096,0.068,0.268,0.801,0.807,0.046
tract,NA,NA,09120060900,0.173,0.072,0.047,0.094,0.069,0.273,0.801,0.841,0.046
tract,NA,NA,09120061000,0.21,0.092,0.054,0.099,0.082,0.291,0.792,0.745,0.074
tract,NA,NA,09120061100,0.159,0.063,0.04,0.096,0.063,0.248,0.79,0.825,0.049
tract,NA,NA,09120061200,0.2,0.083,0.046,0.098,0.078,0.266,0.777,0.753,0.085
tract,NA,NA,09120061300,0.192,0.078,0.042,0.097,0.074,0.258,0.773,0.767,0.079
tract,NA,NA,09120061400,0.217,0.089,0.046,0.1,0.081,0.264,0.761,0.73,0.11
tract,NA,NA,09120061500,0.165,0.065,0.041,0.098,0.065,0.25,0.789,0.813,0.046
tract,NA,NA,09120061600,0.175,0.073,0.047,0.096,0.069,0.269,0.798,0.815,0.049
tract,NA,NA,09120070100,0.161,0.061,0.038,0.094,0.064,0.242,0.777,0.776,0.066
tract,NA,NA,09120070200,0.275,0.131,0.058,0.106,0.124,0.329,0.775,0.616,0.172
tract,NA,NA,09120070300,0.471,0.244,0.067,0.139,0.173,0.357,0.738,0.351,0.388
tract,NA,NA,09120070400,0.276,0.093,0.041,0.114,0.082,0.238,0.747,0.641,0.146
tract,NA,NA,09120070500,0.325,0.136,0.049,0.112,0.117,0.301,0.733,0.568,0.235
tract,NA,NA,09120070600,0.333,0.176,0.077,0.111,0.155,0.376,0.778,0.585,0.213
tract,NA,NA,09120070900,0.435,0.24,0.087,0.124,0.197,0.401,0.75,0.406,0.345
tract,NA,NA,09120071000,0.258,0.108,0.041,0.105,0.106,0.285,0.752,0.557,0.207
tract,NA,NA,09120071100,0.33,0.159,0.058,0.116,0.137,0.336,0.754,0.546,0.25
tract,NA,NA,09120071200,0.374,0.195,0.074,0.116,0.169,0.377,0.762,0.49,0.274
tract,NA,NA,09120071300,0.309,0.135,0.049,0.111,0.116,0.296,0.736,0.493,0.265
tract,NA,NA,09120071400,0.355,0.158,0.056,0.113,0.131,0.306,0.72,0.469,0.311
tract,NA,NA,09120071600,0.45,0.219,0.066,0.136,0.159,0.345,0.721,0.384,0.39
tract,NA,NA,09120071900,0.301,0.129,0.05,0.112,0.113,0.309,0.737,0.51,0.226
tract,NA,NA,09120072000,0.278,0.123,0.049,0.113,0.112,0.305,0.761,0.602,0.177
tract,NA,NA,09120072100,0.261,0.122,0.056,0.107,0.111,0.318,0.781,0.691,0.152
tract,NA,NA,09120072200,0.307,0.151,0.071,0.11,0.12,0.342,0.782,0.663,0.169
tract,NA,NA,09120072300,0.294,0.137,0.055,0.113,0.121,0.323,0.763,0.634,0.187
tract,NA,NA,09120072400,0.28,0.126,0.048,0.113,0.108,0.3,0.755,0.609,0.206
tract,NA,NA,09120072500,0.269,0.126,0.058,0.108,0.111,0.317,0.778,0.674,0.148
tract,NA,NA,09120072600,0.271,0.117,0.057,0.111,0.095,0.295,0.775,0.686,0.118
tract,NA,NA,09120072700,0.255,0.12,0.054,0.105,0.114,0.324,0.786,0.656,0.143
tract,NA,NA,09120072800,0.332,0.174,0.064,0.121,0.151,0.374,0.783,0.568,0.218
tract,NA,NA,09120072900,0.262,0.124,0.049,0.111,0.119,0.332,0.784,0.61,0.159
tract,NA,NA,09120073000,0.232,0.103,0.044,0.102,0.103,0.299,0.778,0.63,0.15
tract,NA,NA,09120073100,0.291,0.144,0.06,0.111,0.131,0.347,0.783,0.628,0.178
tract,NA,NA,09120073200,0.384,0.231,0.098,0.114,0.195,0.432,0.804,0.52,0.222
tract,NA,NA,09120073300,0.324,0.166,0.061,0.119,0.145,0.359,0.778,0.565,0.218
tract,NA,NA,09120073400,0.29,0.138,0.054,0.112,0.126,0.329,0.771,0.616,0.202
tract,NA,NA,09120073500,0.37,0.186,0.064,0.118,0.157,0.346,0.751,0.463,0.302
tract,NA,NA,09120073600,0.329,0.153,0.052,0.113,0.134,0.314,0.744,0.509,0.286
tract,NA,NA,09120073700,0.369,0.195,0.072,0.121,0.162,0.377,0.771,0.519,0.261
tract,NA,NA,09120073800,0.41,0.211,0.071,0.118,0.173,0.362,0.737,0.424,0.348
tract,NA,NA,09120073900,0.343,0.17,0.063,0.111,0.15,0.344,0.754,0.497,0.287
tract,NA,NA,09120074000,0.36,0.183,0.064,0.116,0.155,0.35,0.761,0.515,0.281
tract,NA,NA,09120074300,0.373,0.196,0.069,0.121,0.166,0.377,0.764,0.5,0.277
tract,NA,NA,09120074400,0.319,0.152,0.054,0.117,0.134,0.341,0.764,0.557,0.234
tract,NA,NA,09120080100,0.279,0.131,0.056,0.109,0.113,0.321,0.77,0.643,0.17
tract,NA,NA,09120080200,0.281,0.128,0.054,0.112,0.113,0.317,0.766,0.619,0.174
tract,NA,NA,09120080400,0.264,0.124,0.052,0.112,0.113,0.327,0.784,0.668,0.154
tract,NA,NA,09120080500,0.214,0.099,0.061,0.1,0.09,0.323,0.813,0.775,0.06
tract,NA,NA,09120080600,0.239,0.111,0.06,0.104,0.1,0.322,0.795,0.753,0.101
tract,NA,NA,09120080700,0.203,0.09,0.051,0.099,0.086,0.3,0.796,0.757,0.083
tract,NA,NA,09120080800,0.193,0.081,0.046,0.099,0.075,0.275,0.786,0.77,0.077
tract,NA,NA,09120080900,0.24,0.105,0.053,0.103,0.091,0.296,0.774,0.717,0.123
tract,NA,NA,09120081000,0.239,0.108,0.058,0.103,0.095,0.314,0.79,0.725,0.104
tract,NA,NA,09120081100,0.228,0.103,0.057,0.101,0.09,0.309,0.794,0.766,0.092
tract,NA,NA,09120081200,0.2,0.086,0.051,0.098,0.08,0.291,0.798,0.811,0.073
tract,NA,NA,09120081300,0.27,0.135,0.084,0.099,0.111,0.382,0.839,0.773,0.078
tract,NA,NA,09120090100,0.209,0.095,0.06,0.095,0.086,0.309,0.808,0.816,0.061
tract,NA,NA,09120090200,0.213,0.095,0.058,0.096,0.082,0.302,0.804,0.796,0.066
tract,NA,NA,09120090300,0.193,0.082,0.05,0.095,0.077,0.282,0.793,0.775,0.066
tract,NA,NA,09120090400,0.211,0.093,0.052,0.097,0.084,0.29,0.79,0.764,0.083
tract,NA,NA,09120090500,0.203,0.089,0.052,0.098,0.082,0.292,0.793,0.787,0.072
tract,NA,NA,09120090600,0.189,0.081,0.052,0.094,0.075,0.287,0.803,0.806,0.056
tract,NA,NA,09120090700,0.173,0.072,0.046,0.094,0.073,0.273,0.798,0.831,0.05
tract,NA,NA,09120100100,0.18,0.075,0.046,0.097,0.072,0.271,0.793,0.796,0.055
tract,NA,NA,09120100200,0.188,0.079,0.05,0.096,0.074,0.281,0.794,0.792,0.058
tract,NA,NA,09120100300,0.19,0.08,0.049,0.097,0.075,0.278,0.791,0.798,0.063
tract,NA,NA,09120105100,0.17,0.071,0.048,0.094,0.071,0.276,0.804,0.829,0.045
tract,NA,NA,09120105200,0.191,0.084,0.055,0.096,0.083,0.297,0.8,0.789,0.054
tract,NA,NA,09120257200,0.343,0.164,0.06,0.12,0.138,0.338,0.75,0.523,0.252
tract,NA,NA,09130541100,0.27,0.122,0.058,0.116,0.117,0.342,0.8,0.631,0.121
tract,NA,NA,09130541200,0.207,0.09,0.052,0.105,0.091,0.317,0.822,0.744,0.069
tract,NA,NA,09130541301,0.199,0.065,0.032,0.112,0.064,0.239,0.773,0.72,0.079
tract,NA,NA,09130541302,0.186,0.065,0.034,0.106,0.07,0.253,0.787,0.694,0.077
tract,NA,NA,09130541401,0.194,0.083,0.051,0.104,0.085,0.309,0.823,0.788,0.056
tract,NA,NA,09130541402,0.235,0.107,0.062,0.107,0.099,0.339,0.826,0.762,0.077
tract,NA,NA,09130541500,0.219,0.049,0.024,0.117,0.04,0.161,0.755,0.704,0.074
tract,NA,NA,09130541600,0.319,0.151,0.071,0.121,0.135,0.363,0.795,0.57,0.157
tract,NA,NA,09130541700,0.333,0.157,0.076,0.124,0.13,0.363,0.802,0.637,0.128
tract,NA,NA,09130542000,0.221,0.098,0.057,0.108,0.093,0.327,0.822,0.729,0.068
tract,NA,NA,09130542100,0.258,0.112,0.06,0.116,0.101,0.326,0.807,0.654,0.09
tract,NA,NA,09130542200,0.189,0.083,0.051,0.106,0.086,0.319,0.835,0.775,0.052
tract,NA,NA,09130550100,0.233,0.106,0.062,0.11,0.097,0.339,0.819,0.727,0.07
tract,NA,NA,09130550201,0.199,0.085,0.054,0.106,0.083,0.31,0.82,0.766,0.053
tract,NA,NA,09130550202,0.217,0.098,0.062,0.106,0.092,0.339,0.831,0.766,0.054
tract,NA,NA,09130560100,0.197,0.086,0.056,0.104,0.083,0.317,0.83,0.791,0.051
tract,NA,NA,09130560200,0.242,0.111,0.064,0.111,0.097,0.334,0.818,0.717,0.077
tract,NA,NA,09130570100,0.187,0.078,0.047,0.103,0.081,0.294,0.818,0.781,0.058
tract,NA,NA,09130570200,0.186,0.078,0.05,0.103,0.08,0.301,0.823,0.781,0.051
tract,NA,NA,09130570300,0.251,0.122,0.075,0.105,0.107,0.371,0.84,0.739,0.067
tract,NA,NA,09130580100,0.219,0.1,0.064,0.105,0.095,0.344,0.832,0.76,0.057
tract,NA,NA,09130585100,0.204,0.089,0.056,0.105,0.085,0.317,0.823,0.78,0.055
tract,NA,NA,09130590101,0.198,0.088,0.06,0.102,0.086,0.332,0.839,0.798,0.047
tract,NA,NA,09130590102,0.198,0.084,0.054,0.104,0.083,0.313,0.823,0.783,0.053
tract,NA,NA,09130595101,0.206,0.093,0.061,0.105,0.093,0.338,0.832,0.796,0.05
tract,NA,NA,09130595102,0.23,0.106,0.065,0.109,0.099,0.349,0.829,0.737,0.059
tract,NA,NA,09130600100,0.25,0.122,0.078,0.108,0.111,0.379,0.842,0.741,0.059
tract,NA,NA,09130610100,0.244,0.116,0.07,0.105,0.107,0.36,0.831,0.746,0.078
tract,NA,NA,09130610200,0.222,0.105,0.066,0.105,0.101,0.352,0.838,0.766,0.062
tract,NA,NA,09130610300,0.222,0.099,0.061,0.106,0.093,0.331,0.824,0.762,0.069
tract,NA,NA,09130610400,0.197,0.085,0.054,0.104,0.083,0.311,0.824,0.822,0.058
tract,NA,NA,09130620100,0.22,0.101,0.064,0.107,0.096,0.344,0.833,0.78,0.056
tract,NA,NA,09130630101,0.241,0.115,0.075,0.102,0.102,0.373,0.848,0.778,0.056
tract,NA,NA,09130630102,0.202,0.096,0.073,0.098,0.1,0.383,0.873,0.834,0.036
tract,NA,NA,09130640100,0.205,0.093,0.063,0.103,0.092,0.343,0.842,0.814,0.047
tract,NA,NA,09130650100,0.237,0.102,0.067,0.107,0.092,0.371,0.851,0.826,0.039
tract,NA,NA,09130660101,0.247,0.109,0.068,0.108,0.095,0.377,0.851,0.827,0.044
tract,NA,NA,09130660103,0.249,0.108,0.065,0.111,0.093,0.365,0.841,0.782,0.048
tract,NA,NA,09130660104,0.256,0.112,0.068,0.11,0.094,0.373,0.846,0.783,0.049
tract,NA,NA,09130670100,0.207,0.094,0.063,0.102,0.092,0.341,0.842,0.814,0.051
tract,NA,NA,09130670200,0.223,0.108,0.075,0.101,0.103,0.38,0.863,0.784,0.046
tract,NA,NA,09130680101,0.2,0.088,0.058,0.102,0.089,0.33,0.836,0.79,0.054
tract,NA,NA,09130680102,0.256,0.127,0.079,0.107,0.113,0.383,0.845,0.739,0.073
tract,NA,NA,09130680200,0.264,0.131,0.077,0.11,0.12,0.384,0.833,0.688,0.078
tract,NA,NA,09140110100,0.199,0.073,0.039,0.101,0.067,0.237,0.75,0.748,0.096
tract,NA,NA,09140110201,0.239,0.104,0.054,0.105,0.09,0.291,0.767,0.713,0.106
tract,NA,NA,09140110202,0.281,0.142,0.082,0.101,0.112,0.369,0.816,0.713,0.092
tract,NA,NA,09140110301,0.237,0.111,0.067,0.098,0.096,0.333,0.81,0.773,0.076
tract,NA,NA,09140110302,0.207,0.091,0.056,0.096,0.083,0.299,0.798,0.769,0.067
tract,NA,NA,09140110400,0.222,0.1,0.061,0.1,0.088,0.311,0.797,0.746,0.073
tract,NA,NA,09140110500,0.207,0.09,0.057,0.097,0.082,0.303,0.801,0.788,0.062
tract,NA,NA,09140110601,0.192,0.082,0.052,0.097,0.078,0.29,0.798,0.805,0.057
tract,NA,NA,09140110602,0.216,0.095,0.055,0.101,0.087,0.298,0.786,0.754,0.077
tract,NA,NA,09140120100,0.246,0.111,0.06,0.107,0.098,0.332,0.809,0.715,0.078
tract,NA,NA,09140120200,0.298,0.14,0.066,0.113,0.116,0.343,0.791,0.606,0.134
tract,NA,NA,09140125100,0.248,0.112,0.063,0.106,0.097,0.336,0.81,0.704,0.076
tract,NA,NA,09140125200,0.274,0.119,0.056,0.114,0.101,0.318,0.784,0.652,0.121
